vendor_url,day_type,start_time,end_time,day_number
brouwerij-troost,Friday,00:01,15:00,5
seoul-food,Wednesday,12:00,19:00,3
seoul-food,Thursday,12:00,19:00,4
seoul-food,Friday,12:00,19:00,5
seoul-food,Saturday,12:00,19:00,6
yummy-hummus,Monday,11:30,21:00,1
yummy-hummus,Wednesday,11:30,21:00,3
yummy-hummus,Thursday,11:30,21:00,4
yummy-hummus,Friday,11:30,21:00,5
yummy-hummus,Saturday,11:30,21:00,6
yummy-hummus,Sunday,11:30,21:00,7
g-in-west,Tuesday,09:30,16:00,2
g-in-west,Wednesday,09:30,16:00,3
g-in-west,Thursday,09:30,16:00,4
g-in-west,Friday,09:30,17:00,5
g-in-west,Saturday,09:30,17:00,6
loukane-fruit,Monday,08:00,17:00,1
loukane-fruit,Wednesday,08:00,17:00,3
loukane-fruit,Friday,08:00,17:00,5
loukane-fruit,Saturday,08:00,17:00,6
bender,Monday,09:00,17:30,1
bender,Tuesday,09:00,17:30,2
bender,Wednesday,09:00,17:30,3
bender,Thursday,09:00,17:30,4
bender,Friday,09:00,17:30,5
bender,Saturday,08:00,14:30,6
landmarkt,Monday,09:00,20:00,1
landmarkt,Tuesday,09:00,20:00,2
landmarkt,Wednesday,09:00,20:00,3
landmarkt,Thursday,09:00,20:00,4
landmarkt,Friday,09:00,20:00,5
padron,Friday,09:30,18:30,5
padron,Saturday,09:30,18:30,6
padron,Sunday,09:30,18:30,7
vkusvill,Monday,09:30,18:30,1
vkusvill,Tuesday,09:30,18:30,2
vkusvill,Wednesday,09:30,18:30,3
vkusvill,Thursday,09:30,18:30,4
vkusvill,Friday,09:30,18:30,5
vkusvill,Saturday,09:30,18:30,6
vkusvill,Sunday,09:30,18:30,7
t-stoepje-coert-westerink-01,Wednesday,06:30,13:30,3
t-stoepje-coert-westerink-01,Thursday,07:00,16:30,4
t-stoepje-coert-westerink-01,Friday,06:30,18:00,5
t-stoepje-coert-westerink-01,Saturday,06:30,17:00,6
tropische-winkel-rustem,Monday,09:00,18:00,1
tropische-winkel-rustem,Tuesday,09:00,18:00,2
tropische-winkel-rustem,Wednesday,09:00,18:00,3
tropische-winkel-rustem,Thursday,09:00,18:00,4
tropische-winkel-rustem,Friday,09:00,18:00,5
tropische-winkel-rustem,Saturday,09:00,18:00,6
casa-brasil-portugal,Monday,10:00,18:00,1
casa-brasil-portugal,Tuesday,10:00,18:00,2
casa-brasil-portugal,Wednesday,10:00,18:00,3
casa-brasil-portugal,Thursday,10:00,18:00,4
casa-brasil-portugal,Friday,10:00,18:00,5
casa-brasil-portugal,Saturday,10:00,18:00,6
sabor-cubano,Tuesday,12:00,22:00,2
sabor-cubano,Wednesday,12:00,22:00,3
sabor-cubano,Thursday,12:00,22:00,4
sabor-cubano,Friday,12:00,22:00,5
sabor-cubano,Saturday,12:00,22:00,6
sabor-cubano,Sunday,12:00,22:00,7
mamas-ravioli,Monday,00:01,23:59,1
mamas-ravioli,Tuesday,00:01,23:59,2
mamas-ravioli,Wednesday,00:01,23:59,3
mamas-ravioli,Thursday,00:01,23:59,4
mamas-ravioli,Friday,00:01,23:59,5
mamas-ravioli,Saturday,00:01,23:59,6
mamas-ravioli,Sunday,00:01,23:59,7
pinks-bakery,Tuesday,08:00,17:00,2
pinks-bakery,Wednesday,08:00,17:00,3
pinks-bakery,Thursday,08:00,17:00,4
pinks-bakery,Friday,08:00,17:00,5
pinks-bakery,Saturday,08:00,16:30,6
de-indian-mart,Monday,09:30,18:30,1
de-indian-mart,Tuesday,09:30,18:30,2
de-indian-mart,Wednesday,09:30,18:30,3
de-indian-mart,Thursday,09:30,18:30,4
de-indian-mart,Friday,09:30,18:30,5
de-indian-mart,Saturday,09:30,18:30,6
