id,user_shop_name,category_name,product_name,product_image,product_details,rating,rating_count,product_stock_status,product_information,product_type,vat,product_unit,product_minimum_order,product_price,kg_price,avg_weight
6,"Bakkerij Straathof","Brood en gebak","Licht bruin sesam brood",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Straathof-11.jpg,"1 stuk",100%,0,In_stock,"Licht bruin brood met sesam",ambient,9,Stuks,1,2.70,2.70,0.00
7,"Bakkerij Straathof","Brood en gebak","Licht bruin maanzaad brood",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Straathof-12.jpg,"1 stuk",100%,1,In_stock,"Licht bruin brood met maanzaad",ambient,9,Stuks,1,2.70,2.70,0.00
8,"Bakkerij Straathof","Brood en gebak","Tijger volkoren brood",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Straathof-9.jpg,"1 stuk",100%,3,In_stock,"Tijger volkoren",ambient,9,Stuks,1,2.60,2.60,0.00
9,"Bakkerij Straathof","Brood en gebak","Tijger bruin brood",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/StraathofS2.jpg,"1 stuk ",100%,1,In_stock,"Tijger bruin",ambient,9,Stuks,1,2.60,2.60,0.00
823,"Viscenter Volendam",Vishandel,"Kibbeling gebakken",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-36.jpg,"Circa 250 gram",100%,2,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,250,5.63,22.52,0.00
824,"Viscenter Volendam",Vishandel,"Lekkerbek gebakken",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-48.jpg,"1 stuk",100%,1,In_stock,,cold,9,Stuks,1,3.40,3.40,0.00
825,"Viscenter Volendam",Vishandel,"Gamba's gebakken",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-30.jpg,"Circa 200 gram",100%,0,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,200,6.38,31.90,0.00
826,"Viscenter Volendam",Vishandel,"Mosselen gebakken",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-29.jpg,"Circa 200 gram",100%,3,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,200,4.12,20.60,0.00
827,"Viscenter Volendam",Vishandel,"Vispatat gebakken",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-12.jpg,"Circa 200 gram",100%,2,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,200,4.60,23.00,0.00
828,"Viscenter Volendam",Vishandel,"Gamba's gepaneerd en gebakken",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-21.jpg,"Circa 200 gram",100%,0,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,200,5.58,27.90,0.00
829,"Viscenter Volendam",Vishandel,"Inktvisringen gebakken",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-11.jpg,"Circa 200 gram",100%,2,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,200,4.70,23.50,0.00
830,"Viscenter Volendam",Vishandel,"Kabeljauwfilet gebakken",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-77.jpg,"Circa 200 gram",100%,0,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,200,5.30,26.50,0.00
831,"Viscenter Volendam",Vishandel,"Kibbeling met panneer gebakken",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-76.jpg,"Circa 250 gram",100%,1,In_stock,"Kibbeling met krokant jasje Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,200,4.70,23.50,0.00
832,"Viscenter Volendam",Vishandel,"Pangafilet gebakken",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-54.jpg,"1 stuk",100%,0,In_stock,,cold,9,Stuks,1,2.55,2.55,0.00
833,"Viscenter Volendam",Vishandel,"Rondje remouladesaus",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-31.jpg,"1 bakje",100%,3,In_stock,,cold,9,Stuks,1,0.60,0.60,0.00
834,"Viscenter Volendam",Vishandel,"Rondje cocktailsaus",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-33.jpg,"1 bakje",100%,1,In_stock,,cold,9,Stuks,1,0.65,0.65,0.00
835,"Viscenter Volendam",Vishandel,"Rondje knoflooksaus",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Viscenter-32.jpg,"1 bakje",100%,1,In_stock,,cold,9,Stuks,1,0.60,0.60,0.00
133,"Slagerij van der Schaft",Slagerij,"Gekookte worst gesneden",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-5.jpg,"Circa 100 gram",100%,0,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,1.50,15.00,0.00
134,"Slagerij van der Schaft",Slagerij,"Cranberry-peper pate",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-74.jpg,"Circa 100 gram",100%,2,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.06,20.60,0.00
135,"Slagerij van der Schaft",Slagerij,Sopresa,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-8.jpg,"Circa 100 gram",100%,0,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,3.86,38.60,0.00
136,"Slagerij van der Schaft",Slagerij,Venkelsalami,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-8.jpg,"Circa 100 gram",100%,2,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,3.86,38.60,0.00
137,"Slagerij van der Schaft",Slagerij,Mortadella,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-4.jpg,"Circa 100 gram",100%,3,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.30,23.00,0.00
138,"Slagerij van der Schaft",Slagerij,Catiatori,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-7.jpg,"Circa 100 gram",100%,1,Out_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Stuks,100,0.70,7.00,0.00
139,"Slagerij van der Schaft",Slagerij,Rundertong,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/,"100 gram",100%,1,Out_stock,Rundertong,cold,9,Gewicht,100,2.30,23.00,0.00
140,"Slagerij van der Schaft",Slagerij,Bosham,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-2.jpg,"Circa 100 gram",100%,0,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,4.20,42.00,0.00
141,"Slagerij van der Schaft",Slagerij,Serranoham,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-3.jpg,"Circa 100 gram",100%,4,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,3.36,33.60,0.00
142,"Slagerij van der Schaft",Slagerij,Pancetta,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene.jpg,"Circa 100 gram",100%,2,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,3.00,30.00,0.00
143,"Slagerij van der Schaft",Slagerij,Pepercervelaat,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-19.jpg,"Circa 100 gram",100%,0,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.90,29.00,0.00
144,"Slagerij van der Schaft",Slagerij,"Zachte metworst",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/ReneS2-10.jpg,"Circa 100 gram",100%,0,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,1.80,18.00,0.00
145,"Slagerij van der Schaft",Slagerij,"Gerookte osseworst gesneden",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-16.jpg,"Circa 100 gram",67%,3,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.00,20.00,0.00
146,"Slagerij van der Schaft",Slagerij,"Hausmacher gesneden",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-15.jpg,"Circa 100 gram",100%,1,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.00,20.00,0.00
147,"Slagerij van der Schaft",Slagerij,"Grillworst gesneden",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-14.jpg,"Circa 100 gram",100%,2,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,1.46,14.60,0.00
148,"Slagerij van der Schaft",Slagerij,"Chorizo gesneden",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Rene-17.jpg,"Circa 100 gram",100%,0,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.50,25.00,0.00
1355,DeliFresh,Delicatessen,Aioli,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Loukan-16.jpg,"Circa 100 gram",100%,0,In_stock,"Huisgemaakte Alioli saus Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,1.80,18.00,0.00
1356,DeliFresh,Delicatessen,Tarama,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Loukan-12.jpg,"Circa 100 gram",100%,0,Out_stock,"Huisgemaakte vissalade

Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,1.80,18.00,0.00
1357,DeliFresh,Delicatessen,Tzatziki,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Loukan-11.jpg,"Circa 200 gram",100%,2,In_stock,"Huisgemaakte tzatziki saus

Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,200,3.60,18.00,0.00
1358,DeliFresh,Delicatessen,"Pesto huisgemaakt",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Loukan-29.jpg,"Circa 100 gram",67%,3,In_stock,"Huisgemaakte pesto Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.80,28.00,0.00
1359,DeliFresh,Delicatessen,"Tricolore tapenade",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Loukan-30.jpg,"Circa 100 gram",100%,1,In_stock,"Huisgemaakt tricolore tapenade Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.75,27.50,0.00
1360,DeliFresh,Delicatessen,"Zongedroogde tomaten tapenade",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Loukan-26.jpg,"Circa 100 gram",100%,1,In_stock,"Huisgemaakte tapenade van zongedroogde tomaten Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.75,27.50,0.00
1361,DeliFresh,Delicatessen,"Olijven tapenade groen",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Loukan-31.jpg,"Circa 100 gram",100%,0,In_stock,"Huisgemaakte tapenade van groene olijven Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.70,27.00,0.00
1362,DeliFresh,Delicatessen,"Olijven tapenade zwart",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Loukan-27.jpg,"Circa 100 gram",100%,0,In_stock,"Huisgemaakte tapenade van van zwarte olijven Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.70,27.00,0.00
1363,DeliFresh,Delicatessen,"Zongedroogde tomaten tapenade",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Loukan-28.jpg,"Circa 100 gram",100%,0,In_stock,"Huisgemaakte tapenade van zongedroogde tomaten met feta Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.75,27.50,0.00
1364,DeliFresh,Delicatessen,"Pittige paprika tomaten tapenade",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Loukan-33.jpg,"Circa 100 gram",100%,0,In_stock,"Huisgemaakte tapenade van pittige paprika en tomaat Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",cold,9,Gewicht,100,2.75,27.50,0.00
299,Chouffie,"Groente en fruit",Mandarijn,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Chouffie-20.jpg,"6 stuks",85%,13,Out_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",ambient,9,Stuks,6,3.90,0.65,0.00
300,Chouffie,"Groente en fruit",Bananen,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Chouffie-29.jpg,"6 stuks",94%,18,Out_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",ambient,9,Stuks,6,2.70,0.45,0.00
301,Chouffie,"Groente en fruit","Pers sinaasappel",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Chouffie-13.jpg,"5 stuks",100%,5,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",ambient,9,Stuks,5,3.25,0.65,0.00
302,Chouffie,"Groente en fruit","Conference peren",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Chouffie-25.jpg,"5 stuks",88%,8,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",ambient,9,Stuks,5,3.50,0.70,0.00
303,Chouffie,"Groente en fruit","Pink lady appel",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Chouffie-3.jpg,"5 stuks",90%,10,In_stock,-,ambient,9,Stuks,5,4.00,0.80,0.00
